Date,Open,High,Low,Close,VWAP,Unadj. Open,Unadj. High,Unadj. Low,Unadj. Close,Unadj. VWAP,Volume,Change Percent,Change,Trade Value
2016/3/15,107.4125,107.5462,106.6685,106.8942,107.0214,128.5,128.66,127.61,127.88,128.0322,6413224,0.094,0.10031,821157014
2016/3/14,106.8441,107.3205,106.7103,106.7939,106.9732,127.82,128.39,127.66,127.76,127.9745,5176989,0.314,0.334353,667044413
2016/3/11,107.68,107.7259,106.3342,106.4596,106.6847,128.82,128.875,127.21,127.36,127.6293,8927006,-1.01,-1.0867,1139269307
2016/3/10,108.2484,108.5326,106.9277,107.5462,107.4572,129.5,129.84,127.92,128.66,128.5535,10092026,-0.41,-0.443024,1297421865
2016/3/9,107.8973,108.4072,107.6716,107.9892,107.9479,129.08,129.69,128.81,129.19,129.1405,7194693,-0.608,-0.660357,928999156
2016/3/8,108.9589,109.4939,108.6245,108.6496,108.9442,130.35,130.99,129.95,129.98,130.3324,7175371,1.105,1.187,935042059
2016/3/7,107.3707,107.5546,107.0363,107.4626,107.3369,128.45,128.67,128.05,128.56,128.4095,5493336,-0.031,-0.033436,705463764
2016/3/4,107.6215,107.9391,106.7939,107.4961,107.2378,128.75,129.13,127.76,128.6,128.291,8687010,-0.641,-0.693796,1114639789
2016/3/3,107.8889,108.6162,107.6382,108.1899,108.1609,129.07,129.94,128.77,129.43,129.3954,6395336,0.364,0.392873,827579450
2016/3/2,107.262,107.8054,107.1701,107.797,107.5535,128.32,128.97,128.21,128.96,128.6687,7047705,0.413,0.44303,906902321
2016/3/1,109.3518,109.3768,107.262,107.354,107.7129,130.82,130.85,128.32,128.43,128.8594,13729116,-1.761,-1.924,1789981137
2016/2/29,108.8524,109.4364,108.8107,109.2779,109.1169,130.47,131.17,130.42,130.98,130.787,8016109,0.437,0.475557,1048457691
2016/2/26,108.7189,109.1361,108.4937,108.8024,108.8026,130.31,130.81,130.04,130.41,130.4103,9244954,-0.964,-1.0596,1205672970
2016/2/25,109.6951,110.592,109.5616,109.8619,110.0143,131.48,132.555,131.32,131.68,131.8626,6097222,0.358,0.392123,803901806
2016/2/24,110.4626,111.2886,109.2529,109.4698,110.3017,132.4,133.39,130.95,131.21,132.2071,9091189,-0.198,-0.216921,1201695734
2016/2/23,108.3602,109.912,108.2767,109.6867,109.3884,129.88,131.74,129.78,131.47,131.1124,8320727,0.405,0.442187,1091222390
2016/2/22,109.378,109.3864,109.0443,109.2445,109.1885,131.1,131.11,130.7,130.94,130.8729,5054326,-0.05,-0.054233,661465572
2016/2/19,109.2445,109.9787,109.0693,109.2988,109.4477,130.94,131.82,130.73,131.005,131.1835,8188740,0.08,0.087601,1074218928
2016/2/18,107.968,109.2946,107.9263,109.2112,108.7968,129.41,131,129.36,130.9,130.4033,10196700,1.23,1.3265,1329935189
2016/2/17,108.1599,108.3185,107.384,107.8846,107.7576,129.64,129.83,128.71,129.31,129.1578,13157299,-0.615,-0.667447,1701636260
2016/2/16,109.061,109.086,108.2976,108.5521,108.6936,130.72,130.75,129.805,130.11,130.2796,11766006,-1.057,-1.1597,1532737466
2016/2/12,110.6629,111.0717,109.2362,109.7118,110.0504,132.64,133.13,130.93,131.5,131.9058,13888427,-1.66,-1.8522,1831674252
2016/2/11,112.1646,112.8404,110.9716,111.5639,111.8508,134.44,135.25,133.01,133.72,134.0639,21620249,0.7,0.775908,2951723530
2016/2/10,109.8786,110.8297,109.3864,110.788,110.2067,131.7,132.84,131.11,132.79,132.0932,12797068,0.881,0.967797,1691389496
2016/2/9,110.1623,110.179,109.2612,109.8202,109.7986,132.04,132.06,130.96,131.63,131.604,15232056,0.106,0.116804,2004492010
2016/2/8,108.2267,109.8194,108.1933,109.7034,109.3452,129.72,131.629,129.68,131.49,131.0606,14452163,2.152,2.311,1894525121
2016/2/5,106.6999,107.626,106.4496,107.3924,107.1159,127.89,129,127.59,128.72,128.3887,9200847,0.117,0.125148,1181371225
2016/2/4,106.9752,107.2839,106.3829,107.2672,106.9548,128.22,128.59,127.51,128.57,128.1956,9953521,0.485,0.517269,1276047727
2016/2/3,107.0253,108.4102,106.7249,106.75,107.398,128.28,129.94,127.92,127.95,128.7267,13308995,-0.829,-0.892707,1712843408
2016/2/2,106.8751,107.6594,106.7917,107.6427,107.2646,128.1,129.04,128,129.02,128.5668,10399965,1.855,1.9606,1337321763
2016/2/1,105.7822,106.0158,105.365,105.682,105.6512,126.79,127.07,126.29,126.67,126.6331,9948356,-0.306,-0.324565,1259874243
2016/1/29,106.0982,106.4729,105.686,106.0066,106.0157,127.41,127.86,126.915,127.3,127.3109,13170724,0.848,0.891025,1740040880
2016/1/28,104.541,105.2655,104.4744,105.1156,104.9946,125.54,126.41,125.46,126.23,126.0847,10575351,0.143,0.14989,1333241553
2016/1/27,104.7159,105.1655,104.2495,104.9657,104.7616,125.75,126.29,125.19,126.05,125.805,7957753,-0.024,-0.024981,1001072546
2016/1/26,104.9157,105.3071,104.7159,104.9907,104.9905,125.99,126.46,125.75,126.08,126.0798,5692621,0.048,0.049964,718018053
2016/1/25,104.8824,105.1489,104.6326,104.9407,104.8996,125.95,126.27,125.65,126.02,125.9707,5738192,0.543,0.566259,722848158
2016/1/22,104.0164,104.5327,103.6916,104.3745,104.2067,124.91,125.53,124.52,125.34,125.1386,10164328,-0.381,-0.399711,1272045203
2016/1/21,105.7068,105.9966,104.6493,104.7742,105.1598,126.94,127.288,125.67,125.82,126.2831,11001621,-0.679,-0.716151,1390867147
2016/1/20,105.7401,106.5229,105.2738,105.4903,105.8507,126.98,127.92,126.42,126.68,127.1128,17283292,1.053,1.0992,2196902050
2016/1/19,104.1996,104.9823,104.0497,104.3911,104.5282,125.13,126.07,124.95,125.36,125.5246,8926594,-0.312,-0.326427,1120384530
2016/1/15,104.4244,104.8907,104.1579,104.7175,104.6006,125.4,125.96,125.08,125.752,125.6116,13976332,1.56,1.6088,1755662826
2016/1/14,103.65,104.0622,102.709,103.1087,103.3356,124.47,124.965,123.34,123.82,124.0925,12873776,-0.936,-0.974299,1597345086
2016/1/13,102.8672,104.5035,102.6507,104.083,103.621,123.53,125.495,123.27,124.99,124.4352,15577552,0.986,1.0159,1938488803
2016/1/12,101.8763,103.5251,101.718,103.0671,102.8618,122.34,124.32,122.15,123.77,123.5235,12897720,1.443,1.4656,1593207921
2016/1/11,101.6264,102.251,101.4766,101.6015,101.8289,122.04,122.79,121.8601,122.01,122.2831,10040254,-1.094,-1.1242,1227683272
2016/1/8,101.9512,102.8131,101.7851,102.7256,102.3154,122.43,123.465,122.2305,123.36,122.8673,9577237,0.448,0.458002,1176678606
2016/1/7,102.1594,102.3676,101.4141,102.2676,102.0237,122.68,122.93,121.785,122.81,122.5171,10202158,0.179,0.183202,1249963708
2016/1/6,101.843,102.1094,101.6348,102.0844,101.9436,122.3,122.62,122.05,122.59,122.4209,8916942,1.348,1.3573,1091706819
2016/1/5,100.6605,101.1768,100.4773,100.7271,100.7975,120.88,121.5,120.66,120.96,121.0445,6242567,-0.403,-0.408037,755608208
2016/1/4,101.5348,101.9679,101.0269,101.1351,101.5188,121.93,122.45,121.32,121.45,121.9107,10591941,0.722,0.724475,1291199201
2015/12/31,100.4023,100.6444,100.1359,100.4107,100.4206,120.57,120.8607,120.25,120.58,120.5919,7897690,0.45,0.449676,952396156
2015/12/30,99.8611,100.3774,99.6529,99.961,99.9786,119.92,120.54,119.67,120.04,120.0611,5508875,-0.1,-0.099927,661381618
2015/12/29,101.335,101.3766,99.936,100.0609,100.43,121.69,121.74,120.01,120.16,120.6032,7787496,-1.661,-1.6904,938843140
2015/12/28,101.5848,102.1511,101.4682,101.7514,101.8096,121.99,122.67,121.85,122.19,122.2599,7586564,0.295,0.299785,927485788
2015/12/25,,,,101.4516,,,,,121.83,,0,0,N/A,
2015/12/24,101.1518,101.4849,101.0935,101.4516,101.3397,121.47,121.87,121.4,121.83,121.6956,3364567,0.573,0.577972,409498991
2015/12/23,100.7406,101.0564,100.4415,100.8736,100.7686,121.23,121.61,120.87,121.39,121.2637,7287134,-0.752,-0.764509,883695162
2015/12/22,101.9206,102.0453,101.373,101.6381,101.6523,122.65,122.8,121.991,122.31,122.3271,5445763,-0.722,-0.739578,666190141
2015/12/21,102.5688,102.8597,102.145,102.3777,102.4618,123.43,123.78,122.92,123.2,123.3012,7494943,-0.024,-0.024931,924100586
2015/12/18,102.278,102.6436,102.0619,102.4026,102.3889,123.08,123.52,122.82,123.23,123.2135,10171700,0.555,0.565074,1253278580
2015/12/17,101.1977,102.0287,101.0813,101.8375,101.6567,121.78,122.78,121.64,122.55,122.3324,9922991,1.131,1.1385,1214075178
2015/12/16,100.6077,101.5218,100.134,100.6991,100.6858,121.07,122.17,120.5,121.18,121.164,10988572,-0.214,-0.216055,1331576666
2015/12/15,100.5661,101.0481,100.4082,100.9151,100.7795,121.02,121.6,120.83,121.44,121.2768,8795455,-0.589,-0.598316,1066868637
2015/12/14,102.278,102.3361,101.1727,101.5135,101.7501,123.08,123.15,121.75,122.16,122.4448,10661052,-1.293,-1.3296,1305243806
2015/12/11,102.2364,103.1256,102.1035,102.843,102.6728,123.03,124.1,122.87,123.76,123.5552,12299538,1.576,1.5955,1519629268
2015/12/10,101.206,101.4054,100.9567,101.2475,101.1818,121.79,122.03,121.49,121.84,121.7608,5606896,0.131,0.132957,682703304
2015/12/9,100.8404,101.501,100.1423,101.1146,100.8801,121.35,122.145,120.51,121.68,121.3978,8993896,-0.107,-0.10803,1091994704
2015/12/8,101.6132,101.7378,100.9235,101.2226,101.2513,122.28,122.43,121.45,121.81,121.8446,7257521,0.049,0.04986,884183362
